Ballypatrick Forest
Location 3176E 4386N (Irish Grid) 156m amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1961   7   14.4     8.7       0    ---     ---
   1961   8   15.9     8.7       0    ---     ---
   1961   9   15.8     8.5       0    ---     ---
   1961  10   12.1     5.8       0    ---     ---
   1961  11   ---     ---     ---     ---     ---
   1961  12    5.4     0.0      15    ---     ---
   1962   1    6.8     0.5       7    ---     ---
   1962   2    7.0     1.5       5    ---     ---
   1962   3    5.3    -1.5      19    ---     ---
   1962   4   10.2     2.0       3    ---     ---
   1962   5   12.0     4.6       0    ---     ---
   1962   6   15.1     7.3       0    ---     ---
   1962   7   15.4     8.5       0    ---     ---
   1962   8   15.3     8.8       0    ---     ---
   1962   9   13.5     7.8       0    ---     ---
   1962  10   12.3     7.0       0    ---     ---
   1962  11    8.1     3.0       2    ---     ---
   1962  12    6.5     2.0       6    ---     ---
   1963   1    2.6    -1.4      22    ---     ---
   1963   2    3.1    -1.6      20    ---     ---
   1963   3    8.6     2.1       6    ---     ---
   1963   4    9.6     3.7       2    ---     ---
   1963   5   11.8     4.6       0    ---     ---
   1963   6   16.0     8.7       0    ---     ---
   1963   7   16.1     9.1       0    ---     ---
   1963   8   14.9     9.1       0    ---     ---
   1963   9   14.4     8.3       0    ---     ---
   1963  10   12.6     7.3       0    ---     ---
   1963  11    9.1     3.9       4    ---     ---
   1963  12    6.1     1.8       7    ---     ---
   1964   1    7.1     2.9       0    ---     ---
   1964   2    6.5     2.0       8    ---     ---
   1964   3    6.3     2.0       6    ---     ---
   1964   4   10.9     4.2       2    ---     ---
   1964   5   14.8     6.7       0    ---     ---
   1964   6   14.2     8.3       0    ---     ---
   1964   7   15.8     9.6       0    ---     ---
   1964   8   16.0     9.4       0    ---     ---
   1964   9   15.1     9.0       0    ---     ---
   1964  10   11.4     6.0       0    ---     ---
   1964  11    9.8     3.9       3    ---     ---
   1964  12    6.3     0.8      10    ---     ---
   1965   1    5.1     0.3      13    ---     ---
   1965   2    6.0     0.5      10    ---     ---
   1965   3    7.2     1.2       9    ---     ---
   1965   4   10.0     3.2       1    ---     ---
   1965   5   12.8     6.0       2    ---    161.0
   1965   6   15.4     8.3       0    ---    148.7
   1965   7   14.1     8.2       0    ---    160.8
   1965   8   15.3     8.4       0    ---    160.9
   1965   9   13.7     7.4       0    ---    100.0
   1965  10   12.4     7.4       0    ---     88.0
   1965  11    6.3     1.9      10    ---     61.9
   1965  12    6.6     1.3       6    ---     37.4
   1966   1    5.3     1.4      11    ---     30.4
   1966   2    6.0     1.7       9    ---     41.6
   1966   3    9.0     3.0       4    ---    103.1
   1966   4    8.4     2.7       6    ---    108.3
   1966   5   12.8     5.7       0    ---    204.3
   1966   6   15.7     9.5       0    ---    107.9
   1966   7   15.7     9.1       0    ---    166.4
   1966   8   15.3     8.6       0    ---    164.8
   1966   9   15.2     8.7       0    ---    100.6
   1966  10   10.9     5.4       1    ---     94.2
   1966  11    7.5     2.5       2    ---     54.0
