Manston
Location 6323E 1661N 49m amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1934   7   22.4    12.9    ---     37.1    ---
   1934   8   20.8    12.1    ---     51.6    ---
   1934   9   20.4    10.8    ---     25.4    ---
   1934  10   14.6     8.2    ---     56.1    ---
   1934  11    9.3     5.1    ---     45.2    ---
   1934  12   10.1     6.5    ---     87.9    ---
   1935   1    6.3     2.6    ---     51.8    51.4
   1935   2    8.4     3.6    ---     51.6    62.0
   1935   3    9.8     2.9    ---      2.0   139.3
   1935   4   11.4     5.5    ---     64.0   160.8
   1935   5   12.2     6.5    ---     53.8   228.9
   1935   6   19.2    11.3    ---     62.2   240.4
   1935   7   22.3    13.4    ---      4.6   317.1
   1935   8   22.2    13.1    ---     74.4   235.8
   1935   9   18.5    10.9    ---     80.3   178.5
   1935  10   14.0     7.4    ---     52.3   130.9
   1935  11   10.8     5.3    ---    109.2    67.5
   1935  12    6.1     1.9    ---     46.2    38.0
   1936   1    7.3     3.1    ---     79.5    39.4
   1936   2    5.8     0.9    ---     52.6    97.4
   1936   3   10.3     4.4    ---     22.9   124.0
   1936   4    9.7     3.9    ---     34.8   163.0
   1936   5   14.4     8.0    ---      4.3   205.5
   1936   6   19.7    11.2    ---     61.7   239.9
   1936   7   19.7    12.2    ---    103.9   213.4
   1936   8   20.6    12.6    ---     28.2   190.9
   1936   9   18.6    12.2    ---     85.1   113.4
   1936  10   13.2     6.8    ---     52.3   130.0
   1936  11    9.2     4.2    ---     91.2    46.2
   1936  12    7.9     2.8    ---     43.2    86.6
   1937   1    7.7     3.3    ---    100.8    61.0
   1937   2    8.9     3.8    ---     89.4    76.7
   1937   3    7.3     1.7    ---     88.9   130.1
   1937   4   12.1     6.2    ---     53.6   116.8
   1937   5   15.9     8.8    ---     83.6   184.1
   1937   6   19.1    10.8    ---     57.4   237.6
   1937   7   20.9    13.2    ---     22.1   155.7
   1937   8   21.5    13.9    ---     39.4   194.6
   1937   9   19.0    10.5    ---     67.3   176.1
   1937  10   14.7     8.9    ---     70.1   102.7
