Nairn   there is a site change in 1998
Location before 1998 2869E 8568N 8m amsl  after 1998 2912E 8573N 23 m amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1931   1    5.0     0.6      11    78.4    43.4
   1931   2    6.7     0.7       7    48.9    63.6
   1931   3    6.2    -1.5      19    37.6   145.4
   1931   4   10.4     3.1       3    44.6   110.1
   1931   5   13.2     6.1       1    63.7   167.4
   1931   6   15.4     8.0       0    87.8   150.3
   1931   7   17.3    10.6       0   121.4   111.2
   1931   8   15.6     9.1       0    57.2   127.5
   1931   9   15.0     8.4       0    38.1   122.3
   1931  10   12.1     5.5       2    59.4    95.8
   1931  11   10.3     3.9       3    43.7    61.5
   1931  12    8.9     3.2       7    33.6    36.5
   1932   1    9.8     2.9       3    76.1    82.4
   1932   2    7.7     2.3       6    14.4    63.7
   1932   3    7.7     1.6       9    66.1    69.2
   1932   4    9.1     1.9       6    80.0   110.5
   1932   5   11.9     5.9       1    73.8   132.2
   1932   6   16.0     9.0       0     4.7   168.7
   1932   7   17.9    10.4       0    73.0   124.6
   1932   8   18.2    10.7       0    53.9   140.7
   1932   9   15.0     8.0       0    66.3    84.0
   1932  10   10.4     4.6       1   128.6    65.3
   1932  11    8.7     2.2       2    73.7    68.7
   1932  12    8.1     1.9       7    50.5    44.1
   1933   1    5.8    -1.2      16    33.9    62.1
   1933   2    6.2     0.4      10    56.0    47.0
   1933   3   11.1     2.6       4    17.4   114.7
   1933   4   11.8     4.6       1    53.4   109.0
   1933   5   13.5     6.1       1    47.1   125.3
   1933   6   18.6     9.5       0    49.1   191.0
   1933   7   21.6    11.8       0    56.4   155.2
   1933   8   19.9    12.0       0    49.9   170.7
   1933   9   16.8     9.3       0    19.8   129.2
   1933  10   12.6     6.9       0    84.5    49.2
   1933  11    8.6     2.8       5    24.9    55.4
   1933  12    6.5     0.9      12     9.8    46.1
   1934   1    8.3     2.8       0    49.8    42.1
   1934   2    9.5     4.2       2    16.5    61.8
