Waddington
Location 4988E 3653N 68m amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1947   1    3.3    -0.7    ---     34.0    60.0
   1947   2   -0.6    -3.8    ---     19.0    24.7
   1947   3    6.2     0.0    ---     95.0    73.7
   1947   4   12.6     4.7    ---     43.0   161.7
   1947   5   19.8     8.1    ---     13.0   209.4
   1947   6   21.7    11.0    ---     64.0   212.6
   1947   7   22.2    13.0    ---     34.0   183.4
   1947   8   26.1    12.4    ---      2.0   267.7
   1947   9   20.6    10.4    ---     28.0   163.4
   1947  10   15.6     6.7    ---      6.0   103.4
   1947  11    9.5     3.6    ---     32.0    90.8
   1947  12    6.7     2.3    ---     54.0    34.0
   1948   1    7.3     2.3    ---     83.0    43.6
   1948   2    7.0     1.5    ---     17.0    63.0
   1948   3   13.0     3.0    ---      8.0   161.8
   1948   4   14.4     4.0    ---     31.0   204.1
   1948   5   16.9     5.8    ---     49.0   239.6
   1948   6   17.8     9.0    ---     78.0   168.6
   1948   7   20.0    10.8    ---     36.0   186.0
   1948   8   19.2    10.9    ---     70.0   129.7
   1948   9   18.0    10.1    ---     66.0   127.5
   1948  10   13.8     6.2    ---     51.0   102.3
   1948  11    8.9     3.4    ---     25.0    67.1
   1948  12    7.4     2.8    ---     73.0    45.9
   1949   1    7.6     1.4       9    23.7    61.0
   1949   2    9.4     1.2       7     9.7   119.0
   1949   3    7.6     0.9      11    24.4    87.7
   1949   4   14.8     5.3       1    50.4   178.8
   1949   5   15.5     5.8       0    50.3   233.4
   1949   6   19.9     8.9       0    15.1   246.0
   1949   7   22.3    11.9       0    57.0   203.6
   1949   8   22.0    11.8       0    50.1   228.8
   1949   9   20.7    12.2       0    29.1   157.3
   1949  10   14.8     7.3       3    82.7   119.7
   1949  11    8.9     2.9       2    62.0    68.3
   1949  12    8.0     2.5       3    39.0    58.2
   1950   1    6.5     0.7      13    25.0    42.9
   1950   2    8.5     1.3       7    99.4    82.5
   1950   3   11.2     2.7       4    20.9   123.7
   1950   4   11.0     2.7       2    54.5   164.6
   1950   5   14.3     6.5       0    59.7   153.1
   1950   6   21.4    10.6       0    31.5   248.7
   1950   7   20.8    11.6       0    62.4   194.7
   1950   8   20.8    11.2       0    41.4   172.8
   1950   9   16.7     8.7       0    85.2   109.8
   1950  10   13.1     5.7       3    18.0   123.5
   1950  11    8.1     2.7       3   112.1    53.3
   1950  12    2.9    -1.8      20    38.7    40.7
   1951   1    5.8     0.5      10    47.9    53.4
   1951   2    6.0     0.2       9    68.6    57.1
   1951   3    7.2     0.3      14    81.7    98.2
   1951   4   10.7     2.4       3    37.5   201.0
   1951   5   13.5     5.6       0    90.7   167.0
   1951   6   18.0     8.7       0    25.9   221.6
   1951   7   21.2    11.6       0    20.1   194.3
   1951   8   19.4    10.7       0   131.3   175.6
   1951   9   18.4    10.0       0    21.0   129.4
   1951  10   13.5     5.4       2    22.1   120.8
   1951  11   10.9     4.7       1   121.9    59.4
   1951  12    8.1     1.4       8    32.5    61.3
   1952   1    4.8    -0.7      18    30.1    87.1
   1952   2    6.2    -0.6      17     7.9    82.8
   1952   3    9.4     2.5       7    60.2    97.0
   1952   4   14.1     4.4       3    22.7   177.1
   1952   5   18.0     7.7       0    39.2   211.2
   1952   6   18.8     9.9       0    69.2   186.1
   1952   7   21.1    11.8       0     7.2   188.9
   1952   8   21.1    11.9       0    50.5   200.4
   1952   9   14.8     7.5       0    51.5   117.1
   1952  10   12.1     5.1       0    65.0   120.4
